"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2019","LAA","72","90","32","751","162","1442.2","8.76","3.59","1.67",".290","70.9%","40.4%","17.0%","89.0","5.12","5.04","4.80","6.6"
"2012","BOS","69","93","35","651","162","1443.0","7.33","3.30","1.19",".296","69.6%","46.4%","13.2%","","4.72","4.41","4.16","6.4"
"2010","PIT","57","105","31","679","162","1411.2","6.54","3.43","1.06",".311","67.4%","44.0%","10.0%","","5.00","4.45","4.35","6.4"
"2019","COL","71","91","28","752","162","1448.2","7.85","3.66","1.68",".308","68.5%","46.1%","19.0%","89.9","5.58","5.23","4.75","6.3"
"2019","SEA","68","94","34","700","162","1439.1","7.75","3.16","1.63",".291","68.4%","43.4%","16.4%","89.5","5.00","5.00","4.85","6.3"
"2011","CIN","79","83","39","663","162","1467.2","6.82","3.31","1.13",".282","73.7%","44.8%","11.5%","","4.16","4.37","4.11","6.2"
"2012","MIN","66","96","35","661","162","1438.2","5.90","2.91","1.24",".294","68.8%","45.7%","12.7%","","4.77","4.66","4.46","5.9"
"2011","HOU","56","106","25","665","162","1435.0","7.47","3.51","1.18",".301","70.8%","43.2%","12.0%","","4.51","4.35","4.02","5.6"
"2019","MIA","57","105","27","701","162","1444.1","8.59","3.83","1.47",".281","72.1%","38.3%","14.2%","88.6","4.74","4.89","5.06","5.5"
"2017","MIA","77","85","34","742","162","1442.2","7.50","3.91","1.20",".298","70.7%","42.5%","12.2%","87.4","4.82","4.69","4.90","5.5"
"2017","CIN","68","94","33","666","162","1430.0","8.18","3.97","1.56",".296","71.1%","44.6%","16.8%","87.2","5.17","5.08","4.66","5.3"
"2013","MIL","74","88","40","663","162","1442.2","7.02","2.91","1.09",".286","73.5%","44.4%","11.9%","","3.84","4.12","3.94","5.3"
"2019","BAL","54","108","27","695","162","1443.0","7.78","3.50","1.90",".295","68.5%","40.5%","17.4%","89.5","5.67","5.56","5.23","5.3"
"2009","MIL","80","82","44","674","162","1435.0","6.92","3.81","1.30",".295","71.9%","42.6%","12.0%","","4.84","4.84","4.54","5.2"
"2009","WSN","59","103","33","694","162","1424.1","5.76","3.97","1.09",".296","67.9%","44.4%","10.3%","","5.02","4.82","4.80","4.9"
"2011","BAL","69","93","32","640","162","1446.2","6.49","3.33","1.31",".302","69.5%","43.1%","12.1%","","4.92","4.67","4.29","4.9"
"2006","WSN","71","91","32","679","162","1436.1","6.02","3.66","1.21",".292","69.0%","39.6%","10.2%","","5.03","4.97","5.08","4.6"
"2012","CHC","61","101","28","655","162","1413.2","7.18","3.65","1.11",".291","71.3%","43.2%","11.8%","","4.51","4.46","4.39","4.4"
"2007","WSN","73","89","46","750","162","1446.2","5.79","3.61","1.16",".286","72.0%","39.7%","9.6%","","4.58","4.92","4.93","4.4"
"2017","CHW","67","95","25","682","162","1421.2","7.55","4.00","1.53",".281","72.4%","41.9%","14.7%","87.9","4.78","5.17","5.01","4.4"
"2008","BAL","68","93","35","653","161","1422.0","5.84","4.35","1.16",".298","70.1%","44.6%","10.7%","","5.15","5.14","5.04","3.4"
"2010","ARI","65","97","35","616","162","1432.0","6.72","3.44","1.32",".296","70.1%","41.8%","12.0%","","4.81","4.76","4.35","2.7"
"2018","MIA","63","98","30","707","161","1442.0","7.80","3.78","1.20",".290","69.9%","40.9%","12.1%","88.8","4.76","4.57","4.65","2.3"
"2013","HOU","51","111","32","610","162","1440.0","6.78","3.85","1.19",".303","70.0%","43.9%","11.8%","","4.79","4.67","4.48","2.2"
"2016","CIN","68","94","28","646","162","1442.0","7.75","3.97","1.61",".290","72.8%","41.6%","15.9%","88.3","4.91","5.24","4.79","1.0"
"2006","KCR","62","100","35","635","162","1426.1","5.70","4.02","1.34",".311","67.1%","42.2%","12.1%","","5.67","5.29","5.09","0.5"
