"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2008","SDP","63","99","30","653","162","1458.1","6.79","3.46","1.02",".294","70.9%","42.4%","10.1%","","4.41","4.33","4.33","12.7"
"2012","CLE","68","94","43","656","162","1442.0","6.78","3.39","1.09",".300","67.6%","45.9%","11.4%","","4.79","4.40","4.39","12.6"
"2016","TEX","95","67","56","641","162","1443.0","7.20","3.33","1.25",".292","72.8%","45.5%","13.5%","88.4","4.38","4.58","4.49","12.6"
"2009","PIT","62","99","28","617","161","1418.1","5.83","3.57","0.96",".300","70.6%","43.8%","9.1%","","4.59","4.48","4.63","12.6"
"2006","PIT","67","95","39","667","162","1435.0","6.65","3.89","0.98",".312","71.3%","45.5%","10.4%","","4.55","4.53","4.59","12.5"
"2009","MIN","87","76","48","643","163","1453.0","6.52","2.89","1.15",".301","72.0%","40.9%","9.7%","","4.50","4.39","4.45","12.5"
"2009","TBR","84","78","41","672","162","1427.1","7.09","3.25","1.15",".289","71.2%","41.5%","10.5%","","4.36","4.37","4.30","12.4"
"2009","PHI","93","69","44","621","162","1455.2","7.13","3.02","1.17",".296","75.0%","40.8%","11.0%","","4.16","4.36","4.22","12.4"
"2018","SDP","66","96","36","697","162","1457.0","8.64","3.21","1.14",".305","71.1%","44.4%","13.6%","88.6","4.41","4.10","3.99","12.3"
"2019","ATL","97","65","44","737","162","1450.2","8.64","3.40","1.26",".302","73.8%","45.2%","15.0%","88.9","4.20","4.39","4.42","12.3"
"2019","CHW","72","89","33","697","161","1412.2","8.36","3.71","1.52",".302","71.3%","43.2%","15.9%","88.8","4.91","4.89","4.81","12.2"
"2006","FLA","78","84","41","600","162","1433.1","6.83","3.91","1.04",".299","72.0%","42.7%","10.0%","","4.37","4.59","4.72","12.2"
"2015","MIA","71","91","35","648","162","1427.0","7.27","3.20","0.89",".294","72.3%","44.5%","9.5%","88.5","4.04","3.98","4.23","12.2"
"2014","SDP","77","85","41","643","162","1438.2","8.03","2.89","0.73",".289","74.9%","45.2%","8.6%","","3.27","3.46","3.57","12.2"
"2015","LAA","85","77","46","680","162","1440.2","7.63","2.91","1.04",".285","73.3%","41.5%","10.0%","88.1","3.94","4.06","4.26","12.2"
"2018","LAA","80","82","35","763","162","1437.1","8.68","3.42","1.28",".294","74.1%","42.1%","14.1%","89.0","4.15","4.36","4.18","12.1"
