"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"2007","Pirates","2121","1458","13029.0","4343","1721","83","55","26","463","191","143","191","16","110","35","13","45",".986",""
"2007","Cardinals","2263","1458","12921.0","4307","1672","121","72","47","363","157","120","157","35","58","34","10","39",".980",""
"2007","Padres","2103","1467","13362.0","4454","1766","92","50","39","352","147","115","147","17","189","20","9","42",".985",""
"2007","Giants","2197","1458","13083.0","4361","1666","88","54","32","378","149","127","148","30","77","33","21","49",".986",""
"2008","Angels","2030","1458","13062.0","4354","1646","91","44","47","406","161","133","160","50","109","31","10","50",".985",""
"2008","Orioles","2126","1449","12798.0","4266","1661","100","46","52","402","163","127","164","45","130","33","15","72",".983",""
"2008","Red Sox","2147","1458","13017.0","4339","1597","85","44","41","341","150","105","150","27","96","32","18","43",".986",""
"2008","White Sox","2134","1467","13119.0","4373","1731","108","57","47","387","156","121","156","52","139","30","6","54",".983",""
"2008","Indians","2010","1458","12933.0","4311","1689","94","60","34","461","183","143","183","36","67","27","13","44",".985",""
"2008","Tigers","2122","1458","13005.0","4335","1634","113","71","39","426","173","125","173","27","69","36","16","65",".981",""
"2008","Royals","2123","1458","13011.0","4337","1548","96","49","46","378","162","121","160","45","78","26","8","68",".984",""
"2008","Twins","2078","1467","13131.0","4377","1682","108","47","61","405","169","138","168","52","69","34","4","45",".982",""
"2008","Yankees","2143","1458","12975.0","4325","1586","83","41","41","310","142","93","141","50","113","56","11","55",".986",""
"2008","Athletics","2126","1449","12915.0","4305","1574","98","40","52","405","170","135","170","45","70","41","8","30",".984",""
"2008","Mariners","2075","1458","12918.0","4306","1654","99","55","42","393","160","119","160","36","92","37","14","60",".984",""
"2008","Rays","2080","1458","13119.0","4373","1495","90","45","44","389","153","128","153","44","76","31","10","52",".985",""
"2008","Rangers","2108","1458","12978.0","4326","1676","132","66","64","465","191","155","191","31","114","37","13","62",".978",""
"2008","Blue Jays","2042","1458","13020.0","4340","1699","84","46","36","316","137","102","137","20","86","37","6","51",".986",""
"2008","Diamondbacks","2073","1458","12912.0","4304","1564","113","64","48","328","138","101","138","29","87","31","7","59",".981",""
"2008","Braves","2161","1458","12966.0","4322","1791","107","50","56","364","150","112","150","44","113","35","14","42",".983",""
"2008","Cubs","2180","1449","13056.0","4352","1446","99","59","38","272","118","83","119","30","87","36","8","48",".983",""
"2008","Reds","2204","1458","12981.0","4327","1568","114","50","63","364","156","114","156","30","95","40","17","52",".981",""
"2008","Rockies","2122","1458","13014.0","4338","1816","96","59","37","401","176","126","176","53","86","30","10","61",".985",""
"2008","Marlins","2221","1449","12918.0","4306","1501","117","57","59","286","123","92","122","25","110","32","10","59",".980",""
"2008","Astros","2126","1449","12828.0","4276","1596","67","39","28","338","142","108","142","35","47","21","8","22",".989",""
"2008","Dodgers","2205","1458","13026.0","4342","1795","101","50","50","348","139","107","139","40","82","26","9","47",".984",""
"2008","Brewers","2002","1458","13101.0","4367","1699","101","53","48","370","160","112","160","32","71","45","5","53",".984",""
"2008","Nationals","2160","1449","12906.0","4302","1578","123","66","57","339","144","106","144","36","118","38","12","59",".980",""
"2008","Mets","2194","1458","13179.0","4393","1552","83","48","35","315","126","98","126","38","66","28","7","55",".986",""
"2008","Phillies","2181","1458","13047.0","4349","1698","90","56","33","352","142","104","142","36","109","34","5","34",".985",""
"2008","Pirates","2093","1458","13095.0","4365","1830","107","60","47","458","180","151","180","31","104","46","13","64",".983",""
"2008","Cardinals","2297","1458","13086.0","4362","1817","85","40","44","383","156","130","156","38","49","26","7","50",".986",""
"2008","Padres","2097","1458","13125.0","4375","1626","85","36","48","349","151","111","152","25","168","38","11","43",".986",""
"2008","Giants","2215","1458","12978.0","4326","1393","96","64","32","294","132","90","132","32","99","41","8","77",".983",""
"2009","Angels","2050","1458","13005.0","4335","1623","85","48","36","436","174","140","174","52","128","39","11","67",".986",""
"2009","Orioles","2072","1458","12861.0","4287","1663","90","44","46","375","151","121","151","45","119","33","8","31",".985",""
"2009","Red Sox","2111","1458","12930.0","4310","1453","82","39","43","276","123","92","123","39","151","23","10","42",".986",""
"2009","White Sox","2025","1458","12957.0","4319","1669","113","66","46","379","158","122","158","59","132","42","8","55",".981",""
"2009","Indians","2017","1458","12906.0","4302","1651","97","57","40","425","170","132","170","43","111","33","10","49",".984",""
"2009","Tigers","2141","1467","13023.0","4341","1616","88","39","48","404","164","129","164","40","88","50","15","48",".985",""
"2009","Royals","2094","1458","12834.0","4278","1569","116","55","60","365","162","113","161","43","114","39","14","89",".981",""
"2009","Twins","2150","1467","13077.0","4359","1565","76","40","32","330","135","107","135","41","107","32","16","43",".987",""
"2009","Yankees","2215","1458","13050.0","4350","1493","86","43","43","314","133","100","133","48","125","52","11","66",".985",""
"2009","Athletics","2134","1458","13026.0","4342","1592","105","54","48","360","155","108","155","56","92","38","5","43",".983",""
"2009","Mariners","1952","1458","13074.0","4358","1525","105","60","42","359","150","108","150","36","67","44","16","61",".982",""
"2009","Rays","2166","1458","12846.0","4282","1511","98","45","51","324","135","99","135","41","90","28","7","46",".983",""
"2009","Rangers","1979","1458","12912.0","4304","1603","106","51","54","390","171","130","169","61","99","43","9","45",".982",""
"2009","Blue Jays","2005","1458","13059.0","4353","1740","76","32","44","416","169","137","170","48","89","46","13","43",".988",""
"2009","Diamondbacks","2115","1458","13029.0","4343","1606","124","61","63","334","137","108","136","44","105","33","8","79",".980",""
"2009","Braves","2129","1458","13164.0","4388","1714","96","56","36","390","159","120","159","39","97","46","12","40",".985",""
"2009","Cubs","2175","1449","13008.0","4336","1573","105","60","42","348","144","121","144","46","89","43","5","60",".983",""
"2009","Reds","2136","1458","13125.0","4375","1596","89","51","38","378","161","115","162","47","79","47","4","45",".985",""
"2009","Rockies","2189","1458","12945.0","4315","1765","87","47","40","347","147","111","147","51","115","27","6","48",".986",""
"2009","Marlins","2211","1458","13017.0","4339","1469","106","49","56","325","130","101","129","48","129","42","8","59",".982",""
"2009","Astros","2112","1458","12870.0","4290","1719","78","46","31","409","161","132","161","54","65","29","11","43",".987",""
"2009","Dodgers","2149","1458","13260.0","4420","1594","83","46","36","304","137","97","136","53","89","39","5","76",".986",""
"2009","Brewers","2106","1458","12915.0","4305","1590","98","53","45","379","150","119","150","39","82","21","6","61",".984",""
"2009","Nationals","2217","1458","12819.0","4273","1742","143","76","63","363","156","118","155","39","89","38","9","74",".977",""
"2009","Mets","2145","1458","12834.0","4278","1557","97","52","41","330","134","105","134","35","66","34","7","41",".984",""
"2009","Phillies","2028","1458","13101.0","4367","1557","76","48","28","306","134","97","134","41","95","37","10","28",".987",""
"2009","Pirates","1963","1449","12765.0","4255","1766","73","35","37","392","173","128","173","42","107","43","13","52",".988",""
"2009","Cardinals","2289","1458","12966.0","4322","1855","96","58","36","412","167","131","167","59","44","28","5","43",".985",""
"2009","Padres","2130","1458","13056.0","4352","1566","94","49","44","334","147","105","146","41","100","42","12","52",".984",""
"2009","Giants","2188","1458","13014.0","4338","1511","88","47","39","309","139","90","139","45","107","42","9","71",".985",""
"2010","Angels","2025","1458","13044.0","4348","1562","113","57","56","268","116","81","116","46","133","41","16","80",".981",""
"2010","Orioles","2060","1458","12927.0","4309","1582","105","67","33","331","142","106","142","35","83","27","3","45",".982",""
"2010","Red Sox","2166","1458","13110.0","4370","1588","111","53","56","327","132","95","132","38","169","42","14","58",".982",""
"2010","White Sox","1987","1458","13017.0","4339","1663","103","48","53","401","158","135","158","41","105","39","4","59",".983",""
"2010","Indians","2047","1458","12897.0","4299","1814","110","64","44","448","179","135","179","32","125","58","11","54",".982",""
"2010","Tigers","2115","1458","12999.0","4333","1668","109","64","39","418","171","135","171","26","101","50","11","75",".982",""
"2010","Royals","1972","1458","12930.0","4310","1588","121","71","48","309","138","92","138","34","137","55","11","55",".980",""
"2010","Twins","2066","1458","13074.0","4358","1710","78","35","41","348","151","113","150","43","82","37","8","41",".987",""
