"Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"2012","WSN","2338","5615","6221","1468","948","301","25","194","731","688","479","43","1325","41","36","50","111","105","35",".261"
"2016","KCR","2244","5552","6052","1450","1006","264","33","147","675","640","382","23","1224","45","34","38","134","121","35",".261"
"2016","ARI","2399","5665","6260","1479","948","285","56","190","752","709","463","43","1427","50","38","43","117","137","31",".261"
"2011","MIL","2292","5447","6113","1422","930","276","31","185","721","693","481","53","1083","56","44","85","114","94","31",".261"
"2019","CHW","2311","5529","6042","1443","981","260","20","182","708","676","378","13","1549","66","32","36","114","63","28",".261"
"2009","COL","2352","5398","6241","1408","868","300","50","190","804","760","660","40","1277","47","60","76","112","106","55",".261"
"2009","DET","2350","5540","6234","1443","980","245","35","183","743","718","540","30","1114","61","39","53","131","72","33",".260"
"2013","SFG","2396","5552","6168","1446","1024","280","35","107","629","596","469","40","1078","39","42","66","131","67","26",".260"
"2008","TBR","2299","5541","6312","1443","942","284","37","180","774","735","626","33","1224","68","52","23","111","142","50",".260"
"2012","BOS","2317","5604","6166","1459","939","339","16","165","734","695","428","27","1197","45","55","34","105","97","31",".260"
"2012","MIN","2271","5562","6209","1448","1017","270","30","131","701","666","505","28","1069","53","56","33","149","135","37",".260"
"2009","HOU","2340","5436","6040","1415","971","270","32","142","643","616","448","37","990","43","45","66","153","113","44",".260"
"2013","KCR","2236","5549","6093","1443","1043","254","34","112","648","620","422","38","1048","42","42","37","131","153","32",".260"
"2017","BAL","2351","5650","6140","1469","956","269","12","232","743","713","392","12","1412","50","37","10","138","32","13",".260"
"2010","PHI","2277","5581","6291","1451","961","290","34","166","772","736","560","69","1064","63","43","44","121","108","21",".260"
"2007","HOU","2409","5605","6324","1457","967","293","30","167","723","700","547","40","1043","55","40","77","142","65","33",".260"
"2015","MIA","2297","5463","5988","1420","1024","236","40","120","613","575","375","30","1150","39","40","71","133","112","45",".260"
"2009","TEX","2158","5526","6127","1436","889","296","27","224","784","748","472","23","1253","37","51","40","97","149","36",".260"
"2017","MIN","2324","5557","6261","1444","921","286","31","206","815","781","593","26","1342","46","39","26","105","95","28",".260"
"2006","OAK","2197","5500","6281","1429","966","266","22","175","771","735","650","28","976","50","56","25","170","61","20",".260"
"2013","BAL","2246","5620","6144","1460","936","298","14","212","745","719","416","36","1125","36","45","27","105","79","29",".260"
"2015","PIT","2431","5631","6285","1462","1003","292","27","140","697","661","461","46","1322","89","41","63","115","98","45",".260"
"2016","LAA","2419","5431","6041","1410","955","279","20","156","717","686","471","21","991","51","49","36","147","73","34",".260"
"2012","MIL","2415","5557","6224","1442","901","300","39","202","776","741","466","35","1240","90","35","76","111","158","39",".259"
"2014","PIT","2362","5536","6224","1436","975","275","30","156","682","659","520","46","1244","78","35","54","127","104","47",".259"
"2017","KCR","2342","5536","6027","1436","959","260","24","193","702","660","390","19","1166","45","37","17","160","91","31",".259"
"2010","BAL","2240","5554","6109","1440","1022","264","21","133","613","577","424","32","1056","54","45","31","154","76","34",".259"
"2012","ARI","2213","5462","6150","1416","911","307","33","165","734","710","539","47","1266","41","45","61","108","93","51",".259"
"2006","SFG","2313","5472","6136","1418","906","297","52","163","746","711","494","76","891","53","37","80","136","58","25",".259"
"2007","TOR","2308","5536","6197","1434","901","344","24","165","753","719","533","32","1044","47","48","33","127","57","22",".259"
"2014","LAA","2468","5652","6284","1464","974","304","31","155","773","729","492","42","1266","60","54","26","112","81","39",".259"
"2016","SEA","2371","5583","6227","1446","955","251","17","223","768","735","506","29","1288","72","41","24","138","56","28",".259"
"2009","KCR","2247","5532","6103","1432","961","276","51","144","686","657","457","20","1091","42","32","38","136","88","29",".259"
"2017","SEA","2323","5551","6166","1436","938","281","17","200","750","714","487","31","1267","78","35","14","131","89","35",".259"
"2013","ARI","2349","5676","6334","1468","1005","302","31","130","685","647","519","51","1142","43","43","50","160","62","41",".259"
"2018","CLE","2413","5595","6300","1447","915","297","19","216","818","786","554","32","1189","80","44","25","98","135","36",".259"
"2014","TOR","2397","5549","6167","1435","952","282","24","177","723","690","502","27","1151","41","40","35","128","78","21",".259"
"2018","TBR","2371","5475","6195","1415","948","274","43","150","716","664","540","17","1388","101","50","28","122","128","51",".258"
"2018","CHC","2490","5624","6369","1453","966","286","34","167","761","722","576","67","1388","78","46","40","107","66","38",".258"
"2008","PIT","2340","5628","6278","1454","966","314","21","153","735","705","474","40","1039","59","51","66","111","57","19",".258"
"2010","ATL","2376","5463","6252","1411","935","312","25","139","738","699","634","50","1140","51","35","69","136","63","29",".258"
"2017","DET","2336","5556","6150","1435","924","289","35","187","735","699","503","21","1313","52","27","11","128","65","34",".258"
"2016","SFG","2404","5565","6271","1437","973","280","54","130","715","675","572","43","1107","42","46","42","120","79","36",".258"
"2009","CHW","2241","5463","6132","1410","960","246","20","184","724","695","534","25","1022","62","39","34","139","113","49",".258"
"2009","SEA","2150","5543","6113","1430","971","280","19","160","640","613","421","39","1093","49","44","56","124","89","33",".258"
"2009","PHI","2285","5578","6338","1439","868","312","35","224","820","788","589","47","1155","71","45","55","90","119","28",".258"
"2009","WSN","2401","5493","6273","1416","951","271","38","156","710","685","617","39","1208","56","42","64","133","73","40",".258"
"2011","COL","2348","5544","6275","1429","952","274","40","163","735","697","555","54","1201","57","44","75","112","118","42",".258"
"2017","BOS","2334","5669","6338","1461","972","302","19","168","785","735","571","48","1224","53","36","9","141","106","31",".258"
"2006","MIL","2206","5433","6130","1400","899","301","20","180","730","695","502","48","1233","82","53","58","134","71","37",".258"
"2011","HOU","2377","5598","6150","1442","1010","309","28","95","615","579","401","34","1164","46","37","66","111","118","33",".258"
"2019","ATL","2411","5560","6302","1432","877","277","29","249","855","824","619","39","1467","60","35","25","104","89","28",".258"
"2015","TEX","2358","5511","6187","1419","936","279","32","172","751","707","503","32","1233","76","54","43","99","101","39",".257"
"2019","LAD","2413","5493","6281","1414","813","302","20","279","886","861","607","47","1356","81","45","55","100","57","10",".257"
"2016","PIT","2458","5542","6261","1426","964","277","32","153","729","696","561","39","1334","81","36","41","133","110","45",".257"
"2006","CIN","2335","5515","6296","1419","899","291","12","217","749","718","614","52","1192","59","38","66","122","124","33",".257"
"2016","CHW","2217","5550","6131","1428","950","277","33","168","686","656","455","16","1285","53","44","29","122","77","36",".257"
"2010","SFG","2354","5488","6143","1411","935","284","30","162","697","660","487","53","1099","50","41","76","159","55","32",".257"
"2019","NYM","2445","5624","6290","1445","906","280","17","242","791","767","516","34","1384","95","27","28","129","56","27",".257"
"2009","SFG","2304","5493","6057","1411","971","275","43","122","657","612","392","41","1158","50","55","67","115","78","28",".257"
"2011","BAL","2262","5585","6156","1434","957","273","13","191","708","684","452","24","1120","52","43","24","154","81","25",".257"
"2018","ATL","2377","5582","6251","1433","915","314","29","175","759","717","511","53","1290","66","43","49","99","90","36",".257"
"2011","LAD","2304","5436","6094","1395","1013","237","28","117","644","613","498","61","1087","45","43","71","101","126","40",".257"
"2013","TBR","2423","5538","6242","1421","937","296","23","165","700","670","589","31","1171","36","55","24","140","73","38",".257"
"2010","CHC","2307","5512","6140","1414","940","298","27","149","685","658","479","32","1236","50","38","60","124","55","31",".257"
"2015","CLE","2285","5439","6109","1395","922","303","29","141","669","640","533","34","1157","39","50","47","134","86","28",".256"
"2011","CHC","2373","5549","6130","1423","954","285","36","148","654","610","425","35","1202","59","35","60","123","69","23",".256"
"2007","OAK","2220","5577","6365","1430","948","295","16","171","741","711","664","29","1119","49","56","18","142","52","20",".256"
"2014","TEX","2264","5460","6026","1400","1001","260","28","111","637","597","417","37","1162","61","45","41","148","105","59",".256"
"2007","WSN","2528","5520","6201","1415","952","309","31","123","673","646","524","38","1128","53","41","63","143","69","23",".256"
"2017","STL","2416","5470","6219","1402","894","284","28","196","761","728","593","36","1348","65","44","47","139","81","31",".256"
"2014","BAL","2294","5596","6130","1434","943","264","16","211","705","681","401","29","1285","62","36","35","112","44","20",".256"
"2010","OAK","2255","5448","6117","1396","981","276","30","109","663","619","527","16","1061","47","51","43","129","156","38",".256"
"2011","CIN","2358","5612","6329","1438","972","264","19","183","735","697","535","52","1250","63","40","78","98","97","50",".256"
"2017","CHW","2289","5513","6059","1412","933","256","37","186","706","670","401","17","1397","76","33","35","124","71","31",".256"
"2016","CHC","2332","5503","6335","1409","887","293","30","199","808","767","656","45","1339","96","37","42","108","66","34",".256"
"2018","COL","2368","5541","6178","1418","886","280","42","210","780","748","507","38","1397","51","37","42","114","95","33",".256"
"2016","BAL","2257","5524","6089","1413","889","265","6","253","744","710","468","19","1324","44","36","17","119","19","13",".256"
"2016","CIN","2287","5487","6094","1403","929","277","33","164","716","678","452","37","1284","52","44","58","129","139","51",".256"
"2016","WSN","2302","5490","6201","1403","903","268","29","203","763","735","536","49","1252","64","63","48","102","121","39",".256"
"2008","PHI","2396","5509","6273","1407","866","291","36","214","799","762","586","68","1117","67","40","71","108","136","25",".255"
"2012","CHW","2277","5518","6111","1409","941","228","29","211","748","726","461","24","1203","65","36","31","113","109","43",".255"
"2016","STL","2400","5548","6223","1416","859","300","32","225","779","745","526","28","1318","70","41","37","117","35","26",".255"
"2017","CHC","2420","5496","6283","1402","876","274","29","223","822","785","622","54","1401","82","32","48","134","62","31",".255"
"2012","PHI","2294","5544","6172","1414","957","271","28","158","684","659","454","41","1094","63","39","72","115","116","23",".255"
"2018","HOU","2348","5453","6146","1390","889","278","18","205","797","763","565","19","1197","61","45","14","156","71","26",".255"
