"Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"2016","TOR","2349","5479","6233","1358","843","276","18","221","759","728","632","16","1362","55","40","26","153","54","24",".248"
"2011","MIN","2269","5487","6020","1357","970","259","25","103","619","572","440","24","1048","37","25","31","115","92","39",".247"
"2012","BAL","2282","5560","6160","1375","875","270","16","214","712","677","480","24","1315","50","30","38","152","58","29",".247"
"2010","HOU","2358","5452","6005","1348","963","252","25","108","611","577","415","27","1025","33","29","75","130","100","36",".247"
"2008","CIN","2392","5465","6188","1351","871","269","24","187","704","677","560","50","1125","50","41","72","101","85","47",".247"
"2012","ATL","2264","5425","6126","1341","899","263","30","149","700","660","567","37","1289","34","46","53","109","101","32",".247"
"2009","CIN","2314","5462","6187","1349","886","280","25","158","673","637","531","37","1129","53","41","100","103","96","40",".247"
"2012","SDP","2384","5422","6112","1339","903","272","43","121","651","610","539","36","1238","54","34","63","100","155","46",".247"
"2010","TBR","2361","5439","6270","1343","851","295","37","160","802","769","672","30","1292","57","57","39","92","172","47",".247"
"2019","LAA","2425","5542","6251","1368","859","268","21","220","769","734","586","29","1276","67","42","4","143","65","20",".247"
"2015","MIN","2311","5467","6017","1349","872","277","44","156","696","661","439","31","1264","40","41","30","133","70","38",".247"
"2014","TBR","2352","5516","6205","1361","957","263","24","117","612","586","527","31","1124","66","53","43","135","63","27",".247"
"2019","KCR","2269","5496","6080","1356","873","281","40","162","691","655","456","17","1405","59","42","24","113","117","39",".247"
"2011","FLA","2348","5508","6232","1358","905","274","30","149","625","596","542","38","1244","51","42","89","111","95","41",".247"
"2016","HOU","2334","5545","6204","1367","849","291","29","198","724","689","554","31","1452","47","31","27","134","102","44",".247"
"2019","MIL","2514","5542","6309","1366","820","279","17","250","769","744","629","42","1563","72","38","20","120","101","25",".246"
"2007","CHW","2257","5441","6103","1341","882","249","20","190","693","667","532","33","1149","52","35","41","138","78","45",".246"
"2019","BAL","2386","5596","6189","1379","889","252","25","213","729","698","462","8","1435","71","37","22","111","84","30",".246"
"2010","SDP","2352","5434","6148","1338","946","236","24","132","665","630","538","67","1183","50","46","79","106","124","50",".246"
"2017","OAK","2350","5464","6126","1344","790","305","15","234","739","708","565","15","1491","43","40","13","129","57","22",".246"
"2016","NYM","2430","5459","6115","1342","865","240","19","218","671","649","517","43","1302","62","41","35","124","42","18",".246"
"2016","OAK","2343","5500","6022","1352","892","270","21","169","653","634","442","19","1145","33","34","13","142","50","23",".246"
"2019","PHI","2431","5571","6261","1369","817","311","26","215","774","742","562","47","1453","57","34","34","97","78","18",".246"
"2015","LAA","2459","5417","5990","1331","891","243","21","176","661","621","435","34","1150","58","40","37","116","52","34",".246"
"2014","NYY","2288","5497","6082","1349","929","247","26","147","633","591","452","16","1133","56","47","29","111","112","26",".245"
"2013","PIT","2369","5486","6135","1346","877","273","35","161","634","603","469","41","1330","88","29","62","120","94","42",".245"
"2012","TOR","2289","5487","6094","1346","879","247","22","198","716","677","473","29","1251","55","45","33","109","123","41",".245"
"2018","KCR","2184","5505","6063","1350","883","283","29","155","638","606","427","13","1310","67","40","24","123","117","38",".245"
"2019","STL","2413","5449","6167","1336","856","246","24","210","764","714","561","15","1420","76","39","40","110","116","29",".245"
"2017","TBR","2345","5478","6147","1340","854","226","32","228","694","671","545","33","1538","55","48","16","115","88","34",".245"
"2013","SDP","2359","5517","6122","1349","931","246","26","146","618","578","467","36","1309","52","34","52","100","118","34",".245"
"2015","NYM","2325","5527","6145","1351","862","295","17","177","683","654","488","42","1290","68","32","29","130","51","25",".244"
"2011","PIT","2444","5421","6064","1325","906","277","35","107","610","580","489","31","1308","34","44","75","123","108","52",".244"
"2015","CHC","2406","5491","6200","1341","868","272","30","171","689","657","567","47","1518","74","35","32","102","95","37",".244"
"2017","TEX","2268","5430","6122","1326","813","255","21","237","799","756","544","18","1493","81","39","27","110","113","44",".244"
"2014","OAK","2358","5545","6245","1354","922","253","33","146","729","686","586","34","1104","49","43","19","118","83","20",".244"
"2014","BOS","2283","5551","6226","1355","930","282","20","123","634","601","535","36","1337","68","52","20","138","63","25",".244"
"2012","MIA","2269","5437","6057","1327","890","261","39","137","609","576","484","46","1228","35","40","60","114","149","41",".244"
"2011","OAK","2229","5452","6104","1330","907","280","29","114","645","612","509","20","1094","50","57","34","119","117","43",".244"
"2018","TOR","2435","5477","6076","1336","783","320","16","217","709","680","499","15","1387","58","37","5","118","47","30",".244"
"2017","PIT","2371","5458","6136","1331","895","249","36","151","668","635","519","39","1213","88","28","42","120","67","36",".244"
"2016","MIL","2342","5330","6061","1299","837","249","19","194","671","641","599","34","1543","37","39","53","132","181","56",".244"
"2014","SEA","2333","5450","5977","1328","913","247","32","136","634","600","396","33","1232","60","34","35","113","96","42",".244"
"2019","CIN","2462","5450","6100","1328","839","235","27","227","701","679","492","25","1436","89","33","30","111","80","38",".244"
"2011","TBR","2284","5436","6152","1324","842","273","37","172","707","674","571","31","1193","73","35","37","101","155","62",".244"
"2011","ATL","2322","5528","6169","1345","912","244","16","173","641","606","504","45","1260","28","30","75","113","77","44",".243"
"2016","TBR","2281","5481","6046","1333","797","288","32","216","672","647","449","20","1482","69","28","18","88","60","37",".243"
"2017","LAA","2392","5415","6073","1314","863","251","14","186","710","678","523","30","1198","70","46","17","141","136","44",".243"
"2015","SDP","2396","5457","6019","1324","880","260","36","148","650","623","426","22","1327","40","42","52","108","82","29",".243"
"2012","PIT","2360","5412","6014","1313","865","241","37","170","651","620","444","32","1354","51","45","62","98","73","52",".243"
"2013","NYY","2253","5449","6044","1321","906","247","24","144","650","614","466","33","1214","57","36","36","121","115","31",".242"
"2011","WSN","2341","5441","6090","1319","886","257","22","154","624","594","470","40","1323","65","32","82","103","106","38",".242"
"2009","SDP","2348","5425","6179","1315","878","265","31","141","638","605","586","52","1182","57","36","74","131","82","29",".242"
"2014","PHI","2282","5603","6198","1356","953","251","27","125","619","584","443","42","1306","55","37","59","95","109","26",".242"
"2010","PIT","2327","5386","5974","1303","874","276","27","126","587","570","463","28","1207","33","33","58","119","87","36",".242"
"2013","MIN","2332","5564","6212","1346","895","285","15","151","614","590","533","20","1430","52","32","29","104","52","33",".242"
"2011","SFG","2370","5486","6091","1327","900","282","24","121","570","534","448","47","1122","52","43","62","118","85","51",".242"
"2008","OAK","2282","5451","6138","1318","900","270","23","125","646","610","574","23","1226","48","35","30","126","88","21",".242"
"2014","HOU","2229","5447","6055","1317","895","240","19","163","629","596","495","27","1442","55","36","22","122","122","37",".242"
"2018","LAA","2467","5472","6108","1323","837","249","23","214","721","690","514","38","1300","73","39","7","111","89","22",".242"
"2018","DET","2323","5494","6029","1326","872","284","35","135","630","597","428","18","1341","52","40","15","110","70","30",".241"
"2018","CHW","2348","5523","6071","1332","851","259","40","182","656","639","425","18","1594","66","32","24","99","98","41",".241"
"2014","ATL","2252","5468","6064","1316","931","240","22","123","573","545","472","31","1369","43","27","53","121","95","33",".241"
"2019","MIA","2402","5512","6045","1326","897","265","18","146","615","593","395","16","1469","73","33","31","139","55","30",".241"
"2016","PHI","2348","5434","5992","1306","879","231","35","161","610","575","424","33","1376","58","30","46","111","96","45",".240"
"2019","DET","2316","5549","6039","1333","851","292","41","149","582","556","391","14","1595","48","42","9","108","57","20",".240"
"2017","TOR","2455","5499","6154","1320","824","269","5","222","693","661","542","12","1327","51","35","25","153","53","24",".240"
"2018","TEX","2300","5453","6163","1308","824","266","24","194","737","696","555","16","1484","88","34","33","104","74","35",".240"
"2012","CHC","2341","5411","5967","1297","859","265","36","137","613","570","447","29","1235","43","24","42","125","94","45",".240"
"2012","TBR","2406","5398","6105","1293","838","250","30","175","697","665","571","26","1323","58","42","34","133","134","44",".240"
"2013","HOU","2266","5457","6020","1307","877","266","16","148","610","566","426","17","1535","52","38","46","110","110","61",".240"
"2018","BAL","2313","5507","6034","1317","872","242","15","188","622","593","422","19","1412","57","35","13","132","81","22",".239"
"2018","SFG","2412","5541","6113","1324","906","255","30","133","603","573","448","40","1467","49","42","33","113","77","34",".239"
"2019","SFG","2493","5579","6170","1332","839","300","26","167","678","655","475","26","1435","50","42","24","111","47","28",".239"
"2014","CHC","2358","5508","6102","1315","857","270","31","157","614","590","442","29","1477","54","41","57","94","65","40",".239"
"2014","NYM","2294","5472","6145","1306","887","275","19","125","629","602","516","42","1264","54","44","59","112","101","34",".239"
"2012","OAK","2247","5527","6183","1315","821","267","32","195","713","676","550","29","1387","45","34","27","97","122","32",".238"
"2013","CHC","2294","5498","6079","1307","820","297","18","172","602","576","439","28","1230","67","30","43","120","63","32",".238"
"2014","CIN","2213","5395","5978","1282","877","254","20","131","595","562","415","22","1252","52","37","76","88","122","52",".238"
"2019","SDP","2413","5391","6019","1281","814","224","24","219","682","652","504","19","1581","55","31","37","120","70","37",".238"
"2018","MIA","2434","5488","6083","1303","929","222","24","128","589","554","455","26","1384","73","31","32","119","45","31",".237"
"2019","SEA","2347","5500","6199","1305","784","254","28","239","758","730","588","7","1581","58","37","14","83","115","47",".237"
"2013","SEA","2237","5558","6172","1318","864","249","17","188","624","597","529","21","1353","31","28","26","122","49","23",".237"
"2013","NYM","2378","5559","6207","1318","893","263","32","130","619","593","512","40","1384","51","32","53","106","114","35",".237"
"2011","SDP","2355","5417","6074","1284","904","247","42","91","593","563","501","42","1320","48","47","55","105","170","44",".237"
"2019","TOR","2354","5493","6091","1299","761","270","21","247","726","697","509","10","1514","45","28","14","107","51","20",".236"
"2012","HOU","2421","5407","6014","1276","864","238","28","146","583","545","463","19","1365","58","30","54","114","105","46",".236"
"2010","SEA","2104","5409","5989","1274","930","227","16","101","513","485","459","33","1184","39","40","42","111","142","39",".236"
"2016","SDP","2355","5419","6000","1275","815","257","26","177","686","654","449","30","1500","58","36","36","93","125","45",".235"
"2018","ARI","2409","5460","6157","1283","798","259","50","176","693","658","560","36","1460","52","45","38","110","79","25",".235"
"2018","SDP","2380","5486","6059","1289","847","250","30","162","617","583","471","28","1523","31","36","35","122","95","36",".235"
"2018","NYM","2333","5468","6177","1282","813","265","34","170","676","649","566","36","1404","73","42","28","116","71","39",".234"
"2018","PHI","2474","5424","6136","1270","813","241","30","186","677","653","582","33","1520","64","32","32","102","69","26",".234"
"2012","SEA","2236","5494","6057","1285","868","241","27","149","619","584","466","21","1259","30","35","32","95","104","35",".234"
"2017","SDP","2342","5356","5954","1251","804","227","31","189","604","576","460","20","1499","53","33","52","99","89","33",".234"
"2011","SEA","2090","5421","5972","1263","879","253","22","109","556","534","435","33","1280","37","41","38","82","125","40",".233"
"2013","MIA","2244","5449","6021","1257","912","219","31","95","513","485","432","31","1232","56","26","57","131","78","29",".231"
"2014","SDP","2362","5294","5905","1199","836","224","30","109","535","500","468","27","1294","41","45","56","118","91","34",".226"
