,season,team,pa,hit_hr,runs_scored,rbi,hit_bb_rate,hit_k_rate,iso,bat_avg,obp,slg,woba,wrc_plus,hit_fwar,hit_hits,ops,wins,losses,saves,games,ip,era,fip,pitch_fwar,pitch_hits,runs_allowed,er,pitch_hr,pitch_bb,pitch_so,pitch_k_rate,pitch_bb_rate,whip,fp,drs,uzr,win_pct,run_diff
17,2006,NYM,6291,200,834,800,0.087,0.17,0.18100000000000002,0.264,0.33399999999999996,0.445,0.33399999999999996,99,28.1,1469,0.78,97,65,43,162,1461.1,4.16,4.37,16.2,1402,731,675,180,527,1161,0.18600000000000003,0.084,1.32,0.983,32,24.2,0.5987654320987654,103
18,2006,NYY,6455,210,930,902,0.10099999999999999,0.163,0.177,0.285,0.363,0.461,0.35600000000000004,113,24.2,1608,0.8240000000000001,97,65,43,162,1443.2,4.43,4.42,17.3,1463,767,710,170,496,1019,0.16399999999999998,0.08,1.36,0.983,-39,-80.1,0.5987654320987654,163
19,2006,OAK,6281,175,771,735,0.10300000000000001,0.155,0.152,0.26,0.34,0.41200000000000003,0.32799999999999996,97,16.5,1429,0.752,93,69,54,162,1451.2,4.22,4.42,17.2,1525,727,680,162,529,1003,0.16,0.084,1.41,0.986,4,3.6,0.5740740740740741,44
20,2006,PHI,6509,216,865,823,0.096,0.185,0.18,0.267,0.34700000000000003,0.447,0.341,100,25.9,1518,0.794,85,77,42,162,1460.1,4.61,4.65,14.2,1561,812,748,211,512,1138,0.179,0.08,1.42,0.983,-4,-6.6,0.5246913580246914,53
21,2006,PIT,6218,141,691,656,0.07400000000000001,0.193,0.134,0.263,0.327,0.397,0.315,86,7.7,1462,0.723,67,95,39,162,1435.0,4.55,4.53,12.5,1545,797,725,156,620,1060,0.16699999999999998,0.098,1.51,0.983,-36,-53.7,0.41358024691358025,-106
22,2006,SDP,6287,161,731,698,0.09,0.17600000000000002,0.154,0.263,0.332,0.41600000000000004,0.325,99,26.1,1465,0.7490000000000001,88,74,50,162,1463.2,3.88,4.27,16.4,1385,679,631,176,468,1097,0.17800000000000002,0.076,1.27,0.985,27,30.9,0.5432098765432098,52
23,2006,SEA,6213,172,756,703,0.065,0.157,0.153,0.272,0.325,0.424,0.322,95,19.7,1540,0.7490000000000001,78,84,47,162,1446.2,4.6,4.59,13.4,1500,792,739,183,560,1067,0.17,0.08900000000000001,1.42,0.985,54,42.0,0.48148148148148145,-36
24,2006,SFG,6136,163,746,711,0.081,0.145,0.163,0.259,0.324,0.42200000000000004,0.32,88,15.7,1418,0.746,76,85,37,161,1429.2,4.64,4.52,13.0,1422,790,737,153,584,992,0.159,0.094,1.4,0.985,32,31.1,0.4720496894409938,-44
25,2006,STL,6225,184,781,745,0.085,0.14800000000000002,0.163,0.26899999999999996,0.337,0.431,0.331,98,23.3,1484,0.769,83,78,38,161,1429.2,4.54,4.77,7.8,1475,762,721,193,504,970,0.157,0.081,1.38,0.9840000000000001,55,-1.0,0.515527950310559,19
26,2006,TBR,6041,190,689,650,0.073,0.183,0.165,0.255,0.314,0.42,0.316,89,10.3,1395,0.733,61,101,33,162,1420.1,4.97,4.83,8.8,1600,856,784,180,606,979,0.154,0.095,1.55,0.981,-35,1.2,0.3765432098765432,-167
27,2006,TEX,6273,183,835,799,0.081,0.16899999999999998,0.168,0.278,0.33799999999999997,0.446,0.337,97,15.9,1571,0.784,80,82,42,162,1431.1,4.61,4.44,15.8,1558,784,733,162,496,972,0.156,0.08,1.44,0.9840000000000001,12,-11.9,0.49382716049382713,51
28,2006,TOR,6241,199,809,778,0.08199999999999999,0.145,0.179,0.284,0.348,0.46299999999999997,0.349,107,25.4,1591,0.8109999999999999,87,75,42,162,1428.1,4.37,4.51,15.4,1447,754,694,185,504,1076,0.175,0.08199999999999999,1.37,0.9840000000000001,39,25.5,0.5370370370370371,55
