"Season","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2008","NYM","6388","9.7%","16.0%","0.60",".266",".340",".420",".761",".154","5.2",".296","6.6","-2.0","8.1","783","14.0",".332","100"
"2019","ATL","6302","9.8%","23.3%","0.42",".258",".336",".452",".789",".195","4.6",".305","2.6","6.1","2.3","855","62.3",".332","102"
"2006","CIN","6296","9.8%","18.9%","0.52",".257",".336",".432",".768",".175","4.2",".290","8.4","-0.1","8.1","787","-3.0",".332","94"
"2009","FLA","6312","9.0%","19.4%","0.46",".268",".340",".416",".756",".148","4.2",".316","0.1","8.2","-3.8","766","9.7",".332","97"
"2008","ATL","6368","9.7%","16.1%","0.60",".270",".345",".408",".753",".138","3.9",".309","-1.9","0.3","-4.2","781","14.1",".332","99"
"2010","CHW","6118","7.6%","15.1%","0.51",".268",".332",".420",".752",".152","4.7",".292","1.7","-7.3","-2.5","753","50.6",".332","100"
"2009","LAD","6385","9.5%","16.7%","0.57",".270",".346",".412",".758",".141","4.9",".309","7.8","-2.6","-1.2","776","10.6",".332","102"
"2012","LAA","6121","7.3%","18.2%","0.40",".274",".332",".433",".764",".159","4.8",".311","11.4","-4.8","6.9","776","77.9",".331","113"
"2009","TEX","6127","7.7%","20.5%","0.38",".260",".320",".445",".764",".185","5.3",".296","-6.4","4.4","11.1","746","11.5",".331","92"
"2014","DET","6202","7.1%","18.4%","0.39",".277",".331",".426",".757",".150","4.7",".319","-5.3","-2.1","0.1","768","101.8",".331","112"
"2006","BAL","6240","7.6%","14.1%","0.54",".277",".339",".424",".763",".146","4.6",".302","-11.3","-1.0","7.8","780","-3.0",".331","96"
"2017","CHC","6283","9.9%","22.3%","0.44",".255",".338",".437",".775",".182","4.2",".302","0.3","-2.5","-4.6","816","50.4",".331","101"
"2012","COL","6183","7.3%","19.6%","0.37",".274",".330",".436",".766",".163","5.1",".321","10.0","-4.7","-2.5","780","74.3",".331","90"
"2017","WSN","6214","8.7%","21.4%","0.41",".266",".332",".449",".782",".183","4.9",".311","4.1","2.5","5.3","805","47.8",".331","99"
"2006","STL","6225","8.5%","14.8%","0.58",".269",".337",".431",".769",".163","4.0",".292","10.5","-0.2","-4.4","774","-7.4",".331","98"
"2018","CLE","6300","8.8%","18.9%","0.47",".259",".332",".434",".766",".176","4.9",".291","-1.5","6.6","8.6","816","79.8",".330","106"
"2008","COL","6312","9.0%","19.2%","0.47",".263",".336",".415",".751",".152","5.0",".308","4.7","2.1","8.4","761","1.1",".330","88"
"2008","FLA","6206","8.7%","22.1%","0.40",".254",".326",".433",".759",".179","4.4",".300","-0.2","6.3","-0.4","751","4.1",".330","96"
"2016","DET","6127","8.0%","21.3%","0.38",".267",".331",".438",".769",".171","4.0",".312","-10.5","-2.8","-3.6","782","59.9",".330","106"
"2010","DET","6312","8.7%","18.2%","0.48",".268",".335",".415",".750",".147","4.1",".311","6.0","6.8","-3.1","770","45.0",".330","102"
"2019","CHC","6195","9.4%","23.6%","0.40",".252",".331",".452",".783",".200","3.9",".297","6.4","-4.0","-4.6","827","47.4",".330","102"
"2017","LAD","6191","10.5%","22.3%","0.47",".249",".334",".437",".771",".188","4.1",".293","4.0","2.0","-0.2","797","42.2",".330","104"
"2008","MIL","6252","8.8%","19.2%","0.46",".253",".325",".431",".757",".179","4.9",".287","2.8","4.3","1.8","754","1.8",".329","97"
"2018","OAK","6255","8.8%","22.1%","0.40",".252",".325",".439",".764",".187","3.5",".294","1.8","-2.5","-5.1","806","75.3",".329","112"
"2012","MIL","6224","7.5%","19.9%","0.38",".259",".325",".437",".762",".177","5.6",".299","-0.1","2.5","9.7","778","67.9",".329","102"
"2017","ARI","6224","9.3%","23.4%","0.40",".254",".329",".445",".774",".190","5.1",".306","3.1","5.0","4.3","799","40.1",".329","95"
"2012","STL","6326","8.4%","18.8%","0.45",".271",".338",".421",".759",".150","4.7",".316","1.2","0.8","-3.6","788","66.4",".329","106"
"2006","FLA","6191","8.0%","20.2%","0.40",".264",".331",".435",".766",".171","4.8",".309","15.3","2.8","-5.5","760","-16.9",".329","96"
"2007","TEX","6214","8.1%","19.7%","0.41",".263",".328",".426",".754",".163","5.1",".305","10.7","-0.1","2.0","757","-11.8",".329","94"
"2016","STL","6223","8.5%","21.2%","0.40",".255",".325",".443",".768",".187","3.6",".294","-11.6","1.4","-6.9","786","52.8",".329","105"
"2017","MIN","6261","9.5%","21.4%","0.44",".260",".334",".434",".768",".174","4.7",".306","4.6","6.5","3.3","805","41.9",".329","103"
"2007","CHC","6268","8.0%","16.8%","0.47",".271",".333",".422",".754",".150","4.4",".308","-0.1","-1.9","-1.9","761","-14.2",".329","90"
"2006","OAK","6281","10.3%","15.5%","0.67",".260",".340",".412",".752",".152","3.9",".285","-13.7","-3.9","1.1","771","-17.2",".328","97"
"2007","OAK","6365","10.4%","17.6%","0.59",".256",".338",".407",".745",".151","3.3",".290","-3.7","0.2","-3.5","773","-14.6",".328","99"
"2012","DET","6119","8.4%","18.0%","0.46",".268",".335",".422",".757",".154","4.3",".307","-7.9","-5.8","-4.1","763","64.6",".328","105"
"2008","MIN","6331","8.4%","15.5%","0.54",".279",".340",".408",".748",".129","5.3",".316","14.1","-0.1","-1.7","760","-1.8",".328","99"
"2019","COL","6288","7.8%","23.9%","0.33",".265",".326",".456",".782",".190","4.7",".321","4.2","-0.2","-2.4","829","37.7",".328","86"
"2009","DET","6234","8.7%","17.9%","0.48",".260",".331",".416",".747",".156","4.4",".294","1.6","2.3","-3.5","742","-5.0",".328","94"
"2009","BAL","6233","8.3%","16.3%","0.51",".268",".332",".415",".747",".147","3.9",".300","-14.3","-1.5","-4.3","743","-4.5",".328","93"
"2010","ATL","6252","10.1%","18.2%","0.56",".258",".339",".401",".740",".143","4.1",".301","1.1","0.7","-3.9","746","27.7",".327","100"
"2019","OAK","6269","9.2%","21.3%","0.43",".249",".327",".448",".776",".199","3.9",".282","6.7","-5.9","-2.5","829","40.4",".327","108"
"2006","LAA","6221","7.8%","14.7%","0.53",".274",".334",".425",".759",".150","4.9",".301","9.8","-0.9","2.4","758","-22.9",".327","95"
"2009","WSN","6273","9.8%","19.3%","0.51",".258",".337",".406",".743",".148","4.2",".302","1.1","-0.5","-6.3","739","-12.4",".327","96"
"2006","WSN","6283","9.5%","18.4%","0.51",".262",".338",".418",".756",".156","4.3",".301","7.4","0.7","-4.8","760","-28.4",".327","96"
"2009","ATL","6335","9.5%","16.8%","0.57",".263",".339",".405",".744",".142","3.7",".300","-11.3","-5.5","-3.4","745","-14.7",".327","97"
"2007","BAL","6264","8.0%","15.0%","0.53",".272",".333",".412",".746",".141","5.0",".302","-11.7","-2.9","5.6","753","-21.8",".327","95"
"2013","OAK","6209","9.2%","19.0%","0.49",".254",".327",".419",".745",".165","4.4",".289","3.3","7.8","-1.1","743","63.0",".327","108"
